"dep_hour","flights","avg_weather_delay","avg_late_aircraft_delay","cancellation_rate_pct"
0,26035,0.68,4.5,86.66
1,1299,7.86,42.19,0.38
2,476,10.4,47.21,0.0
3,236,5.19,36.73,0.0
4,3808,0.24,1.57,0.03
5,41804,0.27,0.23,0.06
6,67166,0.5,0.21,0.04
7,62352,1.37,0.57,0.06
8,64996,1.42,0.86,0.07
9,57108,1.73,1.76,0.05
10,63695,1.53,2.45,0.06
11,61704,1.52,3.65,0.06
12,61233,1.62,4.53,0.04
13,61747,1.33,5.09,0.04
14,59927,1.27,6.07,0.06
15,60376,1.06,6.71,0.07
16,61666,1.05,7.08,0.09
17,62855,0.9,7.35,0.04
18,62716,0.89,7.78,0.07
19,54714,0.88,9.62,0.08
20,45691,1.01,11.21,0.12
21,34894,1.2,12.37,0.21
22,22311,1.94,15.37,0.22
23,9684,2.71,22.56,0.34
24,82,4.52,25.3,0.0
